City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
279,Plettenberg Bay,ZA,-34.0527,23.3716,54.77,90,100,9.55,light rain
280,Manica,FR,49.0,-1.1667,64.85,46,7,9.24,clear sky
281,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,100,32.21,overcast clouds
282,Auki,SB,-8.7676,160.7034,77.54,89,99,5.46,overcast clouds
283,Aloleng,PH,16.1307,119.7824,81.03,81,100,11.34,overcast clouds
284,Srivardhan,IN,18.0333,73.0167,80.01,78,49,4.47,scattered clouds
285,Nawa,IN,27.0167,75.0,88.66,38,0,8.32,clear sky
286,Fort Nelson,CA,58.8053,-122.7002,42.87,77,100,3.27,overcast clouds
287,Aripuana,BR,-9.1667,-60.6333,88.92,48,85,3.65,overcast clouds
288,Oppdal,NO,62.5943,9.6912,41.32,98,100,6.35,overcast clouds
289,Abashiri,JP,44.0213,144.2697,70.95,96,100,7.83,light rain
290,Yucca Valley,US,34.1142,-116.4322,68.05,18,0,8.99,clear sky
291,Celle,DE,52.6226,10.0805,58.1,96,28,5.75,light rain
292,Vardo,NO,70.3705,31.1107,46.38,100,100,13.8,light intensity drizzle
293,Port Hardy,CA,50.6996,-127.4199,49.78,91,5,0.56,clear sky
294,Ahipara,NZ,-35.1667,173.1667,58.82,79,100,14.29,overcast clouds
295,Maceio,BR,-9.6658,-35.7353,83.64,61,75,10.36,broken clouds
296,Hirara,JP,24.8,125.2833,80.62,78,98,21.0,overcast clouds
297,Mastic Beach,US,40.7668,-72.8521,73.65,84,5,18.99,clear sky
298,Klamath Falls,US,42.2249,-121.7817,51.87,78,100,0.0,overcast clouds
299,Bilibino,RU,68.0546,166.4372,28.24,92,99,3.02,overcast clouds
300,Poum,NC,-20.2333,164.0167,74.71,74,0,8.01,clear sky
301,Lavrentiya,RU,65.5833,-171.0,38.34,94,100,15.43,overcast clouds
302,Nadym,RU,65.5333,72.5167,47.41,89,100,20.87,moderate rain
303,Sao Filipe,CV,14.8961,-24.4956,78.01,75,48,7.2,scattered clouds
304,Yaan,NG,7.3833,8.5667,82.81,69,50,5.12,light rain
305,Talnakh,RU,69.4865,88.3972,36.36,100,100,6.08,light rain
306,Verkhnyaya Inta,RU,65.9811,60.3094,46.42,95,100,6.51,light rain
307,Cabimas,VE,10.3883,-71.4399,81.25,79,100,2.8,overcast clouds
308,Bandar,ID,2.05,99.75,74.64,90,100,1.57,overcast clouds
309,Mountain Home,US,43.133,-115.6912,56.68,62,40,11.5,scattered clouds
